MEDIA_ID,MEDIA_NAME,CNT,TIME(2017/12/19 11:22:29.872),TIMETICK(f=2050785),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,
20,NewMedia2,53,0.85744,154045640252,0.77325,0.46870,0.56618,0.29126,3,1,0.78159,0.48637,1,-0.61667,0.09000,0,,0.24907,0.45220,23.26758,1.03706,1,0.50506,0.41355,24.04512,1.03706,1,0,0.00000,9,,
20,NewMedia2,186,3.00861,154050051823,0.77949,0.49670,0.87360,2.13501,4,1,0.78350,0.48150,1,-0.61667,0.09000,0,,0.24676,0.45261,24.64528,1.10654,1,0.50295,0.41278,26.18982,1.09882,1,0,0.00000,9,,
21,black,22,0.35573,154050814482,0.76958,0.49939,0.00000,0.35573,1,1,0.57488,0.49847,1,-0.61667,0.09000,0,,0.24167,0.45279,25.67163,1.05966,1,0.49732,0.41134,27.64722,1.05966,1,0,0.00000,9,,
21,black,32,0.51750,154051146260,0.56114,0.46501,0.42053,0.09697,2,1,0.55298,0.45748,1,-0.61667,0.09000,0,,0.24156,0.45325,25.95716,1.09806,1,0.49750,0.41157,27.88948,1.09806,1,0,0.00000,9,,
22,cross,15,0.24274,154051677315,0.53599,0.46740,0.00000,0.24274,1,1,0.49690,0.48277,1,-0.61667,0.09000,0,,0.23701,0.45329,26.66999,1.06720,1,0.49290,0.41165,27.45420,1.06720,1,0,0.00000,9,,
22,cross,32,0.51768,154052241162,0.48357,0.46356,0.25879,0.25890,2,1,0.47838,0.47925,1,-0.61667,0.09000,0,,0.23559,0.45248,26.47113,1.06793,1,0.49176,0.41084,26.43897,1.06021,1,0,0.00000,9,,
23,NewMedia2,14,0.22638,154052738589,0.48650,0.45626,0.00000,0.22638,1,1,0.50478,0.39845,1,-0.61667,0.09000,0,,0.23700,0.45246,24.85073,1.12349,1,0.49323,0.41068,24.03866,1.12349,1,0,0.00000,9,,
23,NewMedia2,42,0.67923,154053667303,0.28525,0.44797,0.29108,0.38815,2,1,0.23986,0.45457,1,-0.61667,0.09000,0,,0.22834,0.45421,22.38624,1.09806,1,0.48407,0.41203,24.59112,1.09806,1,0,0.00000,9,,
23,NewMedia2,63,1.01897,154054364038,0.25578,0.45851,0.69556,0.32341,3,1,0.67208,0.45677,1,-0.61667,0.09000,0,,0.23978,0.45390,22.95759,1.11502,1,0.49496,0.41278,22.93961,1.11502,1,0,0.00000,9,,
23,NewMedia2,91,1.47186,154055292833,0.75362,0.47105,1.08371,0.38815,4,1,0.77692,0.46841,1,-0.61667,0.09000,0,,0.23886,0.45108,23.58840,1.06793,1,0.49499,0.41347,24.42778,1.06793,1,0,0.00000,9,,
